word,category
absence,commonly misspelled
academic,commonly misspelled
accept,commonly misspelled
access,commonly misspelled
accompanying,commonly misspelled
accomplishment,commonly misspelled
according,commonly misspelled
accurate,commonly misspelled
ache,commonly misspelled
accuse,commonly misspelled
acquaint,commonly misspelled
across,commonly misspelled
activities,commonly misspelled
actual,commonly misspelled
adjacent,commonly misspelled
adolescent,commonly misspelled
advantageous,commonly misspelled
advertisement,commonly misspelled
advice,commonly misspelled
advise,commonly misspelled
affect,commonly misspelled
aggravate,commonly misspelled
aisle,commonly misspelled
allot,commonly misspelled
all right,commonly misspelled
almost,commonly misspelled
alphabet,commonly misspelled
already,commonly misspelled
alter,commonly misspelled
alter,commonly misspelled
all together,commonly misspelled
altogether,commonly misspelled
amateur,commonly misspelled
among,commonly misspelled
analysis,commonly misspelled
analyze,commonly misspelled
answer,commonly misspelled
antidote,commonly misspelled
antiseptic,commonly misspelled
anxiety,commonly misspelled
apology,commonly misspelled
apparently,commonly misspelled
appearance,commonly misspelled
applied,commonly misspelled
approach,commonly misspelled
appropriate,commonly misspelled
artic,commonly misspelled
argue,commonly misspelled
aroused,commonly misspelled
article,commonly misspelled
ascend,commonly misspelled
athletic,commonly misspelled
attack,commonly misspelled
attendance,commonly misspelled
attitude,commonly misspelled
audience,commonly misspelled
author,commonly misspelled
autumn,commonly misspelled
auxiliary,commonly misspelled
awkward,commonly misspelled
bachelor,commonly misspelled
basically,commonly misspelled
basis,commonly misspelled
beautiful,commonly misspelled
becoming,commonly misspelled
beginning,commonly misspelled
believing,commonly misspelled
beneficial,commonly misspelled
breath,commonly misspelled
breathe,commonly misspelled
business,commonly misspelled
cafeteria,
calendar,
campaign,
capital,
carrying,
celebrate,
cemetery,
challenge,
changeable,
characteristic,
chauffeur,
cheerfulness,
choose,
chose,
chosen,
coincidence,
column,
comfortably,
committee,
companies,
compel,
competence,
compliment,
comprehension,
concede,
conceive,
concern,
condemn,
congratulations,
connoisseur,
conscience,
conscious,
considerable,
consistent,
contemporary,
contempt,
continuous,
controlled,
convenience,
correspondence,
councilor,
counselor,
courageous,
criticism,
curiosity,
curriculum,
cylinder,
dangerous,
deceive,
decidedly,
deficient,
delinquent,
democracy,
dependent,
descendant,
descent,
describe,
desert,
dessert,
detriment,
devices,
difference,
dilemma,
diminish,
dining room,
disastrous,
disciple,
discoveries,
discuss,
disease,
